id,title,date,developer_name,publisher_name,reviews_total,reviews_recent,reviews_total_summary,reviews_recent_summary,original_price,discount_price,discount_percent,achievements_number,langs_number,dlcs_number,has_ost,is_dlc,is_ost,short_desc,dlcs,tags,genres,languages,url,developer_url,publisher_url
3321460,Crimson Desert,19 MAR 2026,Pearl Abyss,Pearl Abyss,77338,,Muy positivas,,69.99,,,34,14,1,False,False,False,"Crimson Desert es un juego de acción y aventura en mundo abierto ambientado en Pywel. Acompaña a Kliff en su viaje para reunir a los Melenas Grises y salvar el continente. Zonas salvajes, ciudades, ruinas antiguas y el misterioso Abismo; forja tu propio camino a través del combate y la exploración.",Crimson Desert - Deluxe Pack,Mundo abierto|Acción|Un jugador|Aventura|Exploración|Combate|Dragones|Acción y aventura|Tercera persona|Medievales|Fantasía|Rol|Caballos|Elige tu propia aventura|Buena trama|3D|JcE|Inteligencia artificial|Sangrientos|Tipo «Dark Souls»,Acción|Aventura,Español de España|Inglés|Francés|Italiano|Alemán|Japonés|Coreano|Polaco|Ruso|Chino simplificado|Español de Hispanoamérica|Chino tradicional|Portugués de Brasil|Turco,https://store.steampowered.com/app/3321460/,https://store.steampowered.com/developer/Pearlabyss,https://store.steampowered.com/publisher/Pearlabyss
2868840,Slay the Spire 2,5 MAR 2026,Mega Crit,Mega Crit,97107,94387,Muy positivas,Muy positivas,22.99,,,0,14,0,False,False,False,"El emblemático roguelike de creación de mazos está de vuelta. ¡Construye un mazo único, enfréntate a extrañas criaturas y descubre poderosas reliquias en Slay the Spire 2!",,Estrategia|Roguelike|Juegos de cartas|Construcción de barajas|Cooperativos|Multijugador|Constructor de barajas Roguelike|Combate por turnos|Combate con cartas|Indie|Exploración de mazmorras|Roguelite|2D|Acceso anticipado|Un jugador|Difíciles|Fantasía|Valor continuo|Generación por procedimientos|Solo ratón,Indie|Estrategia|Acceso anticipado,Español de España|Inglés|Francés|Italiano|Alemán|Japonés|Coreano|Polaco|Portugués de Brasil|Ruso|Chino simplificado|Español de Hispanoamérica|Tailandés|Turco,https://store.steampowered.com/app/2868840/,https://store.steampowered.com/developer/megacrit,https://store.steampowered.com/publisher/megacrit
2050650,Resident Evil 4,23 MAR 2023,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",156606,7199,Extremadamente positivas,Extremadamente positivas,39.99,15.99,60,46,14,26,True,False,False,"Sobrevivir es solo el principio. Con una mecánica de juego modernizada, una historia reimaginada y unos gráficos espectacularmente detallados, Resident Evil 4 supone el renacimiento de un gigante del mundo de los videojuegos.","Resident Evil 4: Caminos distintos|Resident Evil 4: Mercenarios|Resident Evil 4: Mapa de tesoros: Expansión|Resident Evil 4: Trajes de Leon y Ashley: ""Alternativos""|Resident Evil 4: Trajes de Leon y Ashley: ""Románticos""|Resident Evil 4: Traje de Leon y filtro: ""Héroe""|Resident Evil 4: Traje de Leon y filtro: ""Villano""|Resident Evil 4: Banda sonora clásica|Resident Evil 4: Arma deluxe: ""Sentinel Nine""|Resident Evil 4: Arma deluxe: ""Skull Shaker""|Resident Evil 4: Accesorio de Leon: ""Gafas de sol (deportivas)""|Resident Evil 4: Ticket de mejora exclusiva de arma x1 (A)|Resident Evil 4: Ticket de mejora exclusiva de arma x1 (B)|Resident Evil 4: Ticket de mejora exclusiva de arma x1 (C)|Resident Evil 4: Ticket de mejora exclusiva de arma x1 (D)|Resident Evil 4: Ticket de mejora exclusiva de arma x1 (E)|Resident Evil 4: Ticket de mejora exclusiva de arma x1 (F)|Resident Evil 4: Ticket de mejora exclusiva de arma x3 (A)|Resident Evil 4: Ticket de mejora exclusiva de arma x3 (B)|Resident Evil 4: Ticket de mejora exclusiva de arma x3 (C)|Resident Evil 4: Ticket de mejora exclusiva de arma x3 (D)|Resident Evil 4: Ticket de mejora exclusiva de arma x5 (A)|Resident Evil 4: Maletín: ""Dorado""|Resident Evil 4: Maletín: ""Clásico""|Resident Evil 4: Amuleto: ""Munición de pistola""|Resident Evil 4: Amuleto: ""Hierba verde""",Terror|Acción|Supervivencia / Terror|Disparos en tercera persona|Un jugador|Zombis|Buena trama|Supervivencia|Versiones nuevas|Oscuros|Cinematográficos|Sangrientos|Realistas|Tercera persona|RV|Gestión de recursos|Aventura|Acción y aventura|Violentos|Terror psicológico,Acción|Aventura,Español de España|Inglés|Francés|Italiano|Alemán|Árabe|Japonés|Coreano|Portugués de Brasil|Ruso|Chino simplificado|Chino tradicional|Español de Hispanoamérica|Polaco,https://store.steampowered.com/app/2050650/,https://store.steampowered.com/developer/capcom,https://store.steampowered.com/publisher/capcom
1174180,Red Dead Redemption 2,5 DIC 2019,Rockstar Games,Rockstar Games,794419,12181,Muy positivas,Muy positivas,59.99,14.99,75,51,13,0,False,False,False,"Arthur Morgan y la banda de Van der Linde se ven obligados a huir. Con agentes federales y cazarrecompensas pisándoles los talones, la banda deberá atracar, robar y luchar para sobrevivir en su camino por el escabroso territorio.",,Mundo abierto|Buena trama|Vaqueros|Multijugador|Aventura|Acción|Realistas|Un jugador|Disparos|Caballos|Preciosos|Ambientales|Para adultos|Disparos en tercera persona|Gran banda sonora|Tercera persona|Sangrientos|Sandbox|Primera persona|FPS,Acción|Aventura,Español de España|Inglés|Francés|Italiano|Alemán|Japonés|Coreano|Polaco|Ruso|Chino simplificado|Español de Hispanoamérica|Chino tradicional|Portugués de Brasil,https://store.steampowered.com/app/1174180/,https://store.steampowered.com/developer/rockstargames,https://store.steampowered.com/publisher/rockstargames
3764200,Resident Evil Requiem,26 FEB 2026,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",91913,35089,Extremadamente positivas,Extremadamente positivas,69.99,,,49,14,2,False,False,False,"Réquiem por los muertos, pesadilla para los vivos. Escapa de la muerte en una experiencia de infarto que te estremecerá.",Resident Evil Requiem - Deluxe Kit|バイオハザード レクイエム オリジナル・サウンドトラック,Supervivencia / Terror|Zombis|Terror|Disparos en tercera persona|Acción|FPS|Primera persona|Acción y aventura|Cinematográficos|Un jugador|Realistas|Oscuros|3D|Buena trama|Posapocalípticos|Protagonista femenina|Violentos|Gestión de inventario|Modernos|Metroidvania,Acción|Aventura,Español de España|Inglés|Francés|Italiano|Alemán|Árabe|Español de Hispanoamérica|Portugués de Brasil|Polaco|Ruso|Chino simplificado|Chino tradicional|Japonés|Coreano,https://store.steampowered.com/app/3764200/,https://store.steampowered.com/developer/capcom,https://store.steampowered.com/publisher/capcom
252490,Rust,8 FEB 2018,Facepunch Studios,Facepunch Studios,1123423,11762,Muy positivas,Muy positivas,39.99,,,92,25,4,True,False,False,"En Rust, el único propósito es sobrevivir. Todo lo que te rodea quiere liquidarte: la fauna de la isla, los demás habitantes, el entorno y otros supervivientes. Haz lo que sea para ver la luz de un nuevo día.","Rust - Warhammer 40,000 Pack|Rust - Instruments Pack|Rust - Sunburn Pack|Rust - Voice Props Pack",Supervivencia|Fabricación|Multijugador|Mundo abierto|Supervivencia en mundo abierto|Construcción|JcJ|Sandbox|Aventura|Primera persona|Acción|Desnudos|FPS|Disparos|Cooperativos|Cooperativos en línea|Indie|Posapocalípticos|Acceso anticipado|Simulación,Acción|Aventura|Indie|Multijugador masivo|Rol,Español de España|Inglés|Francés|Italiano|Alemán|Japonés|Coreano|Ruso|Chino simplificado|Ucraniano|Polaco|Portugués de Portugal|Turco|Árabe|Checo|Danés|Holandés|Finés|Griego|Noruego|Portugués de Brasil|Español de Hispanoamérica|Sueco|Chino tradicional|Vietnamita,https://store.steampowered.com/app/252490/,https://store.steampowered.com/developer/facepunch,https://store.steampowered.com/publisher/facepunch
3240220,Grand Theft Auto V Enhanced,4 MAR 2025,Rockstar North,Rockstar Games,159265,10283,Muy positivas,Muy positivas,29.99,14.99,50,77,13,0,False,False,False,"Disfruta de los superventas del entretenimiento Grand Theft Auto V y Grand Theft Auto Online, ahora mejorados para una nueva generación, con impresionantes gráficos, carga más rápida, audio 3D y mucho más, además de contenido exclusivo para los jugadores de GTA Online.",,Mundo abierto|Acción|Contenido sexual|Multijugador|Crimen|Para adultos|Disparos|Tercera persona|Primera persona|Aventura|Simulador de automóviles|Carreras|Disparos en tercera persona|Sandbox|Divertidos|Modificables|Ambientales|Comedia|JcJ|Cooperativos,Acción|Aventura|Carreras,Español de España|Inglés|Francés|Italiano|Alemán|Japonés|Coreano|Polaco|Portugués de Brasil|Ruso|Chino simplificado|Español de Hispanoamérica|Chino tradicional,https://store.steampowered.com/app/3240220/,https://store.steampowered.com/developer/rockstargames,https://store.steampowered.com/publisher/rockstargames
1808500,ARC Raiders,30 OCT 2025,Embark Studios,Embark Studios,273480,14398,Muy positivas,Mayormente positivas,39.99,,,50,13,3,False,False,False,"ARC Raiders es un juego multijugador de aventura y extracción ambientado en un mortífero planeta Tierra del futuro, devastado por una misteriosa amenaza mecánica llamada ARC.",ARC Raiders - Upgrade to Deluxe Edition|ARC Raiders - The Bonecrown Set|ARC Raiders - The Wasp Hunter Set,Disparos y extracción|Multijugador|JcJ|JcE|Disparos en tercera persona|Posapocalípticos|Disparos|Cooperativos en línea|Supervivencia|Ciencia ficción|Ambientales|Tercera persona|Fabricación|Gestión de inventario|Acción|Mundo abierto|Combate|Futuristas|Personalización de personajes|Realistas,Acción,Español de España|Inglés|Francés|Italiano|Alemán|Japonés|Coreano|Polaco|Portugués de Brasil|Ruso|Chino simplificado|Chino tradicional|Turco,https://store.steampowered.com/app/1808500/,,
3472040,NBA 2K26,4 SEP 2025,Visual Concepts,2K,14250,2189,Variadas,Mayormente positivas,69.99,17.49,75,48,9,4,False,False,False,"El derecho a presumir está en juego en Mi CARRERA, MyTEAM, Mi NBA, La W y Jugar ya. Exhibe tu colección de movimientos con hiperrealismo, gracias a la tecnología ProPLAY™, y desafía a tus amigos, o rivales, en los modos competitivos de NBA 2K26, y leave no doubt: tú eres el rey.",Pase del Salón de la Fama de NBA 2K26: Temporada 6|Pase Pro de NBA 2K26: Temporada 6|Oferta de bonificación de la Temporada 6 de Mi CARRERA en NBA 2K26|Oferta de bonificación MyTEAM de la Temporada 6 de NBA 2K26,Apuestas|Deportes|Baloncesto|Simulación|e-sports|3D|Multijugador|Para mando|Un jugador|Personalización de personajes|Gestión|JcJ|Basados en equipos|Cooperativos en línea|LGBTQ+|Comercio|Hentai|Multijugador local|Cooperativos|Contenido sexual,Deportes,Español de España|Inglés|Francés|Italiano|Alemán|Japonés|Coreano|Chino simplificado|Chino tradicional,https://store.steampowered.com/app/3472040/,,https://store.steampowered.com/publisher/2K
2399830,ARK: Survival Ascended,25 OCT 2023,Studio Wildcard,Studio Wildcard,91854,3447,Variadas,Variadas,44.99,11.24,75,32,16,15,True,False,False,"¡Ark se reinventa desde cero en esta próxima generación de tecnología de videojuegos con Unreal Engine 5! Forma una tribu, domestica y cría cientos de dinosaurios únicos y criaturas primitivas, exploran, cree, construyen y luchan hasta la cima de la cadena alimentaria. ¡Tu nuevo mundo te espera!",ARK: Lost Colony Expansion Pass|ARK: Bob's Tall Tales|ARK: Astraeos|ARK: Lost Colony|ARK Fantastic Tames - Elderclaw|ARK Fantastic Tames - Drakelings|ARK Fantastic Tames - Dreadmare|ARK Fantastic Tames - Pyromane|ARK Animated Series 109-Costumes Pack|ARK: Valguero Ascended|ARK: Ragnarok Ascended|ARK: Extinction Ascended|ARK: Aberration Ascended|ARK: The Center Ascended|ARK: Scorched Earth Ascended,Acceso anticipado|Supervivencia|Mundo abierto|Multijugador|Dinosaurios|Construcción de bases|Construcción|Fabricación|Aventura|Sandbox|Acción|Personalización de personajes|Un jugador|JcE|JcJ|Multijugador masivo|Gestión de inventario|Rol|Fantasía|Ciencia ficción,Acción|Aventura|Indie|Multijugador masivo|Rol|Acceso anticipado,Español de España|Inglés|Francés|Italiano|Alemán|Danés|Holandés|Japonés|Coreano|Portugués de Brasil|Portugués de Portugal|Ruso|Chino simplificado|Español de Hispanoamérica|Chino tradicional|Turco,https://store.steampowered.com/app/2399830/,,
