id,title,developer_name,editor_name,date,total_reviews,short_desc,tags,game_link,developer_link,editor_link
730,Counter-Strike 2,Valve,Valve,21 AGO 2012,9516156,"Durante las dos últimas décadas, Counter‑Strike ha proporcionado una experiencia competitiva de primer nivel para los millones de jugadores de todo el mundo que contribuyeron a darle forma. Ahora el próximo capítulo en la historia de CS está a punto de comenzar. Hablamos de Counter‑Strike 2.",FPS | Disparos | Multijugador | Competitivos | Acción | Basados en equipos | e-sports | Tácticos | Primera persona | JcJ | Cooperativos en línea | Cooperativos | Estrategia | Militares | Bélicos | Difíciles | Comercio | Realistas | De ritmo rápido | Modificables,https://store.steampowered.com/app/730/CounterStrike_2/,https://store.steampowered.com/developer/valve,https://store.steampowered.com/publisher/valve
2868840,Slay the Spire 2,Mega Crit,Mega Crit,5 MAR 2026,95828,"El emblemático roguelike de creación de mazos está de vuelta. ¡Construye un mazo único, enfréntate a extrañas criaturas y descubre poderosas reliquias en Slay the Spire 2!",Estrategia | Roguelike | Juegos de cartas | Construcción de barajas | Cooperativos | Constructor de barajas Roguelike | Multijugador | Combate por turnos | Combate con cartas | Indie | Exploración de mazmorras | Roguelite | 2D | Acceso anticipado | Un jugador | Difíciles | Fantasía | Valor continuo | Generación por procedimientos | Solo ratón,https://store.steampowered.com/app/2868840/Slay_the_Spire_2/,https://store.steampowered.com/developer/megacrit,https://store.steampowered.com/publisher/megacrit
1172470,Apex Legends™,Respawn,Electronic Arts,4 NOV 2020,1040513,Apex Legends es el galardonado juego gratuito de acción en primera persona de Respawn Entertainment. Domina un elenco creciente de leyendas con potentes habilidades. Juego estratégico basado en pelotones y jugabilidad innovadora en la nueva evolución del Battle Royale y la acción en primera persona.,Free to Play | Battle Royale | Multijugador | FPS | Disparos | Primera persona | JcJ | Acción | Disparos de héroe | Basados en equipos | Tácticos | Ciencia ficción | Cooperativos | Botín | Supervivencia | Personalización de personajes | Divertidos | Ciberpunk | Mitos y leyendas | Cinematográficos,https://store.steampowered.com/app/1172470/Apex_Legends/,https://store.steampowered.com/developer/respawn,https://store.steampowered.com/publisher/EA
2050650,Resident Evil 4,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",23 MAR 2023,156088,"Sobrevivir es solo el principio. Con una mecánica de juego modernizada, una historia reimaginada y unos gráficos espectacularmente detallados, Resident Evil 4 supone el renacimiento de un gigante del mundo de los videojuegos.",Terror | Acción | Supervivencia / Terror | Disparos en tercera persona | Un jugador | Zombis | Buena trama | Supervivencia | Oscuros | Versiones nuevas | Cinematográficos | Realistas | Sangrientos | Tercera persona | RV | Gestión de recursos | Aventura | Acción y aventura | Violentos | Terror psicológico,https://store.steampowered.com/app/2050650/Resident_Evil_4/,https://store.steampowered.com/developer/capcom,https://store.steampowered.com/publisher/capcom
2767030,Marvel Rivals,NetEase Games,NetEase Games,5 DIC 2024,379430,"¡Marvel Rivals es un juego de disparos de JcJ por equipos de superhéroes! Reúne un equipo de personajes de Marvel y combina sus poderes para idear infinitas estrategias y habilidades de agrupación, y lucha en campos de batalla destruibles y en constante cambio a lo largo del universo de Marvel.",Free to Play | Multijugador | Disparos de héroe | Disparos en tercera persona | Superhéroes | JcJ | Acción | Basados en equipos | Competitivos | Disparos | Contenido sexual | 3D | Cooperativos en línea | Tercera persona | Estrategia | Cooperativos | Ciencia ficción | FPS | Terror psicológico | Hentai,https://store.steampowered.com/app/2767030/Marvel_Rivals/,https://store.steampowered.com/search/,https://store.steampowered.com/search/
3472040,NBA 2K26,Visual Concepts,2K,4 SEP 2025,14130,"El derecho a presumir está en juego en Mi CARRERA, MyTEAM, Mi NBA, La W y Jugar ya. Exhibe tu colección de movimientos con hiperrealismo, gracias a la tecnología ProPLAY™, y desafía a tus amigos, o rivales, en los modos competitivos de NBA 2K26, y leave no doubt: tú eres el rey.",Apuestas | Deportes | Baloncesto | Simulación | e-sports | 3D | Multijugador | Para mando | Un jugador | Personalización de personajes | Gestión | JcJ | Basados en equipos | Cooperativos en línea | Comercio | LGBTQ+ | Multijugador local | Hentai | Cooperativos | Contenido sexual,https://store.steampowered.com/app/3472040/NBA_2K26/,https://store.steampowered.com/search/,https://store.steampowered.com/publisher/2K
1808500,ARC Raiders,Embark Studios,Embark Studios,30 OCT 2025,273035,"ARC Raiders es un juego multijugador de aventura y extracción ambientado en un mortífero planeta Tierra del futuro, devastado por una misteriosa amenaza mecánica llamada ARC.",Disparos y extracción | Multijugador | JcJ | JcE | Disparos en tercera persona | Posapocalípticos | Disparos | Cooperativos en línea | Supervivencia | Ciencia ficción | Ambientales | Tercera persona | Fabricación | Gestión de inventario | Acción | Mundo abierto | Combate | Futuristas | Personalización de personajes | Realistas,https://store.steampowered.com/app/1808500/ARC_Raiders/,https://store.steampowered.com/search/,https://store.steampowered.com/search/
570,Dota 2,Valve,Valve,9 JUL 2013,2691866,"Cada día, millones de jugadores de todo el mundo entran en batalla como uno de los más de cien héroes de Dota. Y no importa si es su décima hora de juego o la milésima, siempre hay algo nuevo que descubrir.",Free to Play | MOBA | Multijugador | Estrategia | e-sports | Basados en equipos | Competitivos | Acción | Cooperativos en línea | JcJ | Difíciles | Cooperativos | ETR | Defensa de torres | Rol | Fantasía | Personalización de personajes | Valor continuo | Rol de acción | Simulación,https://store.steampowered.com/app/570/Dota_2/,https://store.steampowered.com/developer/valve,https://store.steampowered.com/publisher/valve
3405690,EA SPORTS FC™ 26,EA Canada,Electronic Arts,25 SEP 2025,51164,"El Club es tuyo en EA SPORTS FC™ 26. Juega a tu manera con una experiencia de juego renovada impulsada por los comentarios de la comunidad, Desafíos en vivo de Mánager que traen historias frescas a la nueva temporada y Arquetipos inspirados en los Grandes del deporte.",Fútbol | Multijugador | Deportes | Simulación | Un jugador | Para mando | Competitivos | Cooperativos locales | Realistas | Cooperativos en línea | JcJ | Para toda la familia | Multijugador local | e-sports | Modernos | Personalización de personajes | Anime | Primera persona | Steam Machine | Carreras,https://store.steampowered.com/app/3405690/EA_SPORTS_FC_26/,https://store.steampowered.com/developer/EA,https://store.steampowered.com/publisher/EA
236390,War Thunder,Gaijin Entertainment,Gaijin Network Ltd,15 AGO 2013,733084,"War Thunder es un juego de combate MMO gratuito de vehículos militares usados en la Segunda Guerra Mundial y la guerra de Corea. Lucha en grandes batallas de tierra, mar y aire con jugadores internacionales en un entorno en continuo desarrollo.",Free to Play | Simulación | Combate con vehículos | Combate | Vuelo | RV | Segunda Guerra Mundial | Bélicos | Militares | Tanques | Multijugador | Combate naval | Multijugador masivo | Modernos | Guerra Fría | Disparos | Acción | Realistas | Tercera persona | Disparos en tercera persona,https://store.steampowered.com/app/236390/War_Thunder/,https://store.steampowered.com/search/,https://store.steampowered.com/publisher/gjn_ntw_ltd
